scenario,description,objective_metric,players,total_rating,objective_value,avg_rapm,avg_net_rapm_ctx,avg_o_rapm_ctx,avg_defense_value_ctx,total_minutes_played,status
Maximize NET RAPM,Individual player value (adjusted for teammates/opponents),rapm,"Canada_p11, Canada_p3, Canada_p6, Canada_p9",8.0,0.9773657591253726,0.24434143978134315,0.24054667118973155,0.4741133998851703,-0.23356672869543874,5029.424976091999,Optimal
Maximize NET RAPM (Contextual),Contextual net impact (O-RAPM - D-RAPM),net_rapm_ctx,"Canada_p11, Canada_p3, Canada_p6, Canada_p9",8.0,0.9621866847589262,0.24434143978134315,0.24054667118973155,0.4741133998851703,-0.23356672869543874,5029.424976091999,Optimal
Maximize Offensive Impact,Goals scored per minute (contextual),o_rapm_ctx,"Canada_p11, Canada_p2, Canada_p5, Canada_p9",8.0,2.2071456860014713,0.20696049852642306,0.20610010052856723,0.5517864215003678,-0.3456863209718006,4858.301049371999,Optimal
Maximize Defensive Impact,Goals prevented per minute (higher is better),defense_value_ctx,"Canada_p11, Canada_p3, Canada_p6, Canada_p9",8.0,-0.9342669147817549,0.24434143978134315,0.24054667118973155,0.4741133998851703,-0.23356672869543874,5029.424976091999,Optimal
Maximize On/Off Net,Team performance difference when player is on vs off court,on_off_net_per_min,"Canada_p11, Canada_p2, Canada_p3, Canada_p9",6.5,1.0497337328072354,0.20847480090408205,0.21021132891304775,0.493388354592102,-0.28317702567905423,5137.258128314,Optimal
Balanced Lineup (50/50),Equal weight to offense and defense,balanced,"Canada_p11, Canada_p3, Canada_p6, Canada_p9",8.0,0.48109334237946316,0.24434143978134315,0.24054667118973155,0.4741133998851703,-0.23356672869543874,5029.424976091999,Optimal
Balanced Lineup (60/40 Offense),Offense-oriented balanced approach,balanced_offense,"Canada_p11, Canada_p2, Canada_p5, Canada_p9",8.0,0.7711892980460018,0.20696049852642306,0.20610010052856723,0.5517864215003678,-0.3456863209718006,4858.301049371999,Optimal
Balanced Lineup (60/40 Defense),Defense-oriented balanced approach,balanced_defense,"Canada_p11, Canada_p3, Canada_p6, Canada_p9",8.0,0.19802129094721965,0.24434143978134315,0.24054667118973155,0.4741133998851703,-0.23356672869543874,5029.424976091999,Optimal
